id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,年份
4365837555114633,HrCJBlsy5,2128477713,和我走世界,优安的觅代理【激情满满的四月！】做生鲜电商，不可能不遇到售后问题，而且售后处理的优劣也是决定每个生鲜电商企业能否发展壮大的重要因素之一！每位代理都需要了解的，这次公司的培训课，已经细化到了售后话术如此接地气、通俗易懂的地步；我敢肯定，没有哪个生鲜电商企业培训课程能做到如此的心细，面面俱到，甚至已经细到模拟场景化的话术方法，即使是小白加入，也能很快上手👊👊！#水果代理#我想说，选对品牌太重要啦，你想要的，高品质水果，用心的包装，完善的物流，贴心售后服务，专业且系统化的课程；在『优安的觅』通通可以给你，加入的代理都是手把手零基础的带，你还担心什么，感兴趣的微我✊✊✊,,,,水果代理,0,1,6,2019-04-27 23:50:00,优安的觅代理超话,"['https://wx2.sinaimg.cn/large/7eddfe11gy1g2hmkmd2nwj20u01t0gyo.jpg', 'https://wx2.sinaimg.cn/large/7eddfe11gy1g2hmkksty4j20u01t07k8.jpg', 'https://wx4.sinaimg.cn/large/7eddfe11gy1g2hmkldeu2j20u01t07mu.jpg', 'https://wx2.sinaimg.cn/large/7eddfe11gy1g2hmkly2ozj20u01t0wu9.jpg', 'https://wx2.sinaimg.cn/large/7eddfe11gy1g2hmkmsy63j20u01t04el.jpg', 'https://wx4.sinaimg.cn/large/7eddfe11gy1g2hmkn9aylj20u01t0h09.jpg', 'https://wx1.sinaimg.cn/large/7eddfe11gy1g2hmknttfjj20u01t0ne7.jpg', 'https://wx1.sinaimg.cn/large/7eddfe11gy1g2hmkoecsqj20u01t0apn.jpg', 'https://wx3.sinaimg.cn/large/7eddfe11gy1g2hmkoz0bdj20u01t0aql.jpg']",,,2019
4370912600345653,HtKLa1rV3,1269041324,尚风寨蜂蜜姚俊,尚风寨日志【33】经验是过去阅历的总结2019-5-11晴人在慢慢成长过程中，会遇到很多事，经历过程中，会自然沉淀那些东西，我认为就是经验。一人前显贵，背后遭罪。看着很多成功人士非常牛，其实这些人背后都是有智囊团的，他们也是有人情世故的。二对贵人的爱说不出口，是普遍恩施人存在的问题，很多人都是心理有数。三今天，州建行向行长介绍的“鑫农茶业”贷款模式，真是太好了，这个模式如果能在蜂业上推广应用，未来一定会让蜂业得到空前发展。另外，我特别认同向行长说的：“产业好是关键，更重要是企业的负责人是否靠谱。”我们在来凤县创业，过去确实遇到了很多瓶颈，随着环境越来越好，我们有决心朝着“武陵山区蜂蜜集散和养蜂生产物资批发中心”去努力，期待在产业引导基金、贷款、人才政策等相关支持。四在中国农科院蜜蜂研究所支持下，已经建成了8个示范基地，明天去看第9个养蜂示范基地。———————————————————姚俊｜尚风寨土蜂蜜创始人买真土蜂蜜，认准尚风寨。❶中国农科院蜜蜂研究所科技扶贫示范基地；❷新华社、央视《致富经》专题报道企业；❸全年只取蜜一次的地道土蜂蜜，好喝，送人有面子；❹典型顾客有：农业农村部工会、中铁14局、碧桂园、移动、建行、清华大学教授、李嘉诚日本公司远藤滋先生等。———————————————————,,恩施,,,0,0,3,2019-05-11 23:57:00,iPhone XR,['https://wx1.sinaimg.cn/large/4ba408acly1g2xthmjh1dj23402c0x6r.jpg'],,,2019
4444839451880506,IiOtH7TcK,3017464915,南风--一个异类,我相信有一天会看到这家无良企业倒闭,,,,,0,0,1,2019-12-01 23:56:00,欧版iPhone XS(银色),"['https://wx3.sinaimg.cn/large/b3dadc53ly1g9hnt9yegnj20ze0u0gqo.jpg', 'https://wx1.sinaimg.cn/large/b3dadc53ly1g9i1r27hiqj20r205itb8.jpg']",,,2019
4366563060472387,HrVBM1YT9,2330340997,柚子橙子熟了,利好排放达标企业！五部门发文推进实施钢铁行业超低排放O五部门发文推进实施钢铁行业超低排放分享自@和讯网#和讯网#,,,和讯网,和讯网,0,0,0,2019-04-29 23:53:00,iPhone客户端,['https://wx1.sinaimg.cn/large/8ae62e85ly1g2jxxlhudej205k05kjrk.jpg'],,,2019
4367651591297669,HsnVt5rA9,6347243465,男士穿搭潮流前线,加拿大进口褪黑素片90粒79史低价！！天猫国际官方店，品质有保障！！加拿大最大保健品生产企业，Swisse代工生产商！高含量，每片净含5mg褪黑素，天然无依赖，更好改善睡眠！,,,,,0,1,0,2019-05-02 23:59:00,微博 weibo.com,"['https://wx1.sinaimg.cn/large/006VynYBly1g2neyv3397j30m80m8qad.jpg', 'https://wx2.sinaimg.cn/large/006VynYBly1g2neyv2pk0j30m80m8dii.jpg', 'https://wx2.sinaimg.cn/large/006VynYBly1g2neyv2hm7j309o09oaah.jpg']",,,2019
4370549633586327,HtBjJf2XZ,6827186377,用户6827186377,家庭是世界上最难经营的企业，冷战、暴力、让彼此渐行渐远，婚姻中，错误的沟通让彼此更加误解，好的沟通让婚姻，更加多彩！,,,,,0,0,0,2019-05-10 23:54:00,三享读书经典版,['https://wx3.sinaimg.cn/large/007s2b3jly1g2wnswo0svj30ku112mzs.jpg'],,,2019
4365838150891618,HrCKz3JWW,1220517844,牧笛2022薄健成,【心理分析：经营自我的7条法则】1.正确定义成功，不计较一时一事，目光远大，始终保持积极的心态；2.培养强烈的进取心；3.做一个喜欢自己的人；4.培养对所在企业的热爱和忠诚；5.给自己设计假想的马蝇；6.重视他人的感受；7.借鉴其他同事的长处和优点，实现自己的成长。,,,,,0,0,0,2019-04-27 23:53:00,微博 weibo.com,,,,2019
4370550589554432,HtBlgE5xK,5930273500,期刊论文专著专利加微xsqk2020,河南机电职业学院《机电信息》电力专刊省级知网、万方、维普同时收录，每期固定184页。现收19年6月6月15号准时出刊收稿方向:收机械、电力相关技术和管理类稿件（电力机械企业管理）,,,,,0,0,0,2019-05-10 23:58:00,河南机电职业学院超话,['https://wx4.sinaimg.cn/large/006tkP2Aly1g2wnwtu63kj30ik0oe77c.jpg'],,,2019
4370550799753787,HtBlBEVp9,2179329985,小太阳Sylvia,#广州旅游#广州红专厂——广州第一家非企业非房地产包装的真正意义创意区，是一个以国际标准定义的艺术、生活中心。现在，红专厂正以现代的视野、国际的平台，探索、打造富有时尚、创意、艺术和人文精神的新领域。,,,,广州旅游,0,0,1,2019-05-10 23:59:00,前置双摄vivo X9,"['https://wx3.sinaimg.cn/large/81e5efc1gy1g2wnxian77j20u0140aqa.jpg', 'https://wx1.sinaimg.cn/large/81e5efc1gy1g2wnxkbbm4j20u0140k8x.jpg', 'https://wx3.sinaimg.cn/large/81e5efc1gy1g2wnxlemfyj20u014015w.jpg', 'https://wx3.sinaimg.cn/large/81e5efc1gy1g2wnxmeyg6j20u0140an8.jpg', 'https://wx2.sinaimg.cn/large/81e5efc1gy1g2wnxohtyjj21400u0h1z.jpg', 'https://wx4.sinaimg.cn/large/81e5efc1gy1g2wnxp9o1nj21400u0h58.jpg', 'https://wx1.sinaimg.cn/large/81e5efc1gy1g2wnxpvdrcj20u0140nc5.jpg', 'https://wx3.sinaimg.cn/large/81e5efc1gy1g2wnxqk3bvj21400u0qda.jpg', 'https://wx4.sinaimg.cn/large/81e5efc1gy1g2wnxr5pawj20u0140ds0.jpg']",,,2019
4444838928194478,IiOsQynL0,7128069872,列文虎克的农骑兵,这两年，公关行业其实发生了不少的很好的变化，很多优秀的前辈和从业者，努力说服老板和大众，努力告诉刚入行的新人，公关不是删帖，公关做的是沟通和建立信任。这些微小的努力需要长时间的探索和实践才能看到成效，而成效的速度远远比不上头部企业一次删帖对其的反作用力。长远来看，很担心未来会有更多的企业高层认为，好公关就是能删帖，更担心一些同行会因此以能删帖为荣。这样的恶性循环对于公关行业而言，基本等于一夜回到解放前。很多人原本就不知道公关行业能做什么，现在有个事例摆在眼前，这样的错误认知很久都难消除。劣币驱逐良币，做公关的越来越难了。,,,,,0,0,0,2019-12-01 23:54:00,OnePlus 5T,,,,2019
4371273725173508,HtU9ClHRG,5660364135,甘肃吃喝玩乐攻略,【甘肃省“双创”招聘会进校园⑥】5月11日，由省市场监管局、中共甘肃省非公有制经济组织委员会、兰州交通大学、省私营企业协会、省个体劳动者协会联合举办的甘肃省“大众创业万众创新”2019年兰州交通大学校园招聘会隆重举行。这次“双创”招聘会得到了全省民营企业家们的积极响应，近200家企业，提供了5000多个就业岗位，为省内10多所大学求职学生提供了广阔的择业平台，同时吸引了西安、安徽和湖南等省外大学的优秀学生前来应聘。招聘会现场意向签约1107人。#2019年甘肃省双创招聘会##兰州身边事#@甘肃市场监管@兰州交通大学L博爱兰州的秒拍视频,,,"甘肃市场监管,兰州交通大学","2019年甘肃省双创招聘会,兰州身边事",0,0,1,2019-05-12 23:52:00,微博视频号,,"http://f.us.sinaimg.cn/001s9SG3lx07tNRydmI0010412003q5r0E010.mp4?label=mp4_hd&template=960x448.28.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1693038521&ssig=hFQz6n8o%2FR&KID=unistore,video",,2019
4370548983492995,HtBiGeEGD,2279926842,阿陈6677,毕业🎁系列收到的第一份毕业礼物来自最近被奴役的苦力小黄——精致金灿灿自制手绳一根。（里面的信都快看得我猛虎落泪了）然后是赤沙红人陈主任的贴心绘本，卡片实在是太…太美了！紧接着是民营企业家精致讲究，内容甜蜜可爱，还无意中cue到我的可爱绘本。都很喜欢！谢谢你们,,,,,0,8,6,2019-05-10 23:52:00,iPhone客户端,,,,2019
4367648811261970,HsnQZ5iim,3955444342,加拿大蒙特利尔蒙城汇网,#汇播蒙城#蒙城华人企业收购魁省知名餐厅！加拿大居然在这方面拿了第一！蒙城这东西被污染了，千万别吃！详情🔎：O网页链接加拿大蒙特利尔#加拿大新闻#,,加拿大·蒙特利尔,,"汇播蒙城,加拿大新闻",0,0,0,2019-05-02 23:48:00,iPhone X,"['https://wx4.sinaimg.cn/large/ebc34a76ly1g2nemdqyqnj20v995lqv5.jpg', 'https://wx1.sinaimg.cn/large/ebc34a76ly1g2nemf3mdaj20il0crjw9.jpg', 'https://wx1.sinaimg.cn/large/ebc34a76ly1g2nemgi1c1j20hi0dxgxk.jpg', 'https://wx3.sinaimg.cn/large/ebc34a76ly1g2nemhm5o2j20ji0ai0yy.jpg', 'https://wx4.sinaimg.cn/large/ebc34a76ly1g2nemjbfx0j20ei0a5dom.jpg', 'https://wx2.sinaimg.cn/large/ebc34a76ly1g2nemas2q0j20ir0amn7e.jpg', 'https://wx2.sinaimg.cn/large/ebc34a76ly1g2nemks5ffj20go05kdk0.jpg']",,,2019
4366564499299516,HrVE5D1ec,1740756372,邱小翠,我真心觉得某企业家自私、自大、傲慢的处理方式，活生生让一桩本该早已落幕的丑闻发展成旷日持久的八卦狂欢，一心只想除去身上的污名，却让自己的家人、爱人、公司深陷舆论漩涡，丝毫未曾考虑过伴侣的感受。他配不上他有教养的太太。,,,,,0,0,2,2019-04-29 23:59:00,iPhone客户端,,,,2019
4370549663001887,HtBjMcAVx,1036713140,杭州网,"#要闻推荐#【消费旺·进口增·网购热·服贸优——从内外需数据感受经济活力】O消费旺·进口增·网购热·服贸优——从内外需数据感受经济活力【2018年我国4K电视机顶盒用户数达1.5亿】O2018年我国4K电视机顶盒用户数达1.5亿【推动高质量发展品牌升级为中国经济“投票”】O推动高质量发展品牌升级为中国经济“投票”【第二届进口博览会吸引世界500强和龙头企业超250家】O第二届进口博览会吸引世界500强和龙头企业超250家【鲜菜猪肉价格上涨推高4月CPI，物价会继续走高吗？】O鲜菜猪肉价格上涨推高4月CPI，物价会继续走高吗？【特稿：从货通全球到服务全球——中国谱写全球港口合作新篇章】O特稿：从货通全球到服务全球——中国谱写全球港口合作新篇章【历史的天空将永远镌刻他们的名字——探访中国“两弹城”】O历史的天空将永远镌刻他们的名字——探访中国“两弹城”【核工业从这里出发#壮丽70年·奋斗新时代#】O网页链接【微视频丨忠诚卫士英雄辈出】O微视频丨忠诚卫士英雄辈出【履行好党和人民赋予的新时代职责使命】O履行好党和人民赋予的新时代职责使命【经济发展的“速度”VS民生保障的“温度”】O经济发展的“速度”VS民生保障的“温度”【保障再加力，民生更实惠——从百姓获得感传递出的中国经济温度】O保障再加力,民生更实惠——从百姓获得感传递出的中国经济温度",,,,"要闻推荐,壮丽70年·奋斗新时代",0,0,2,2019-05-10 23:55:00,微博 weibo.com,,,,2019
4444839791822999,IiOuf7Efd,3503297647,sd-wlf,近日，山东省畜牧局收到各市推荐的生猪屠宰标准化创建企业20家的申报材料，经过对申请书面材料进行审查，并对部分申报企业进行了现场复核，共有13家企业通过审查。其中，临沂市共有5家企业拟获得省级生猪屠宰标准化厂称号，目前正在公示期。　　按照《山东省畜牧兽医局关于印发<山东省生猪定点屠宰企业标准化创建实施方案>的通知》要求，将拟确定为省级生猪屠宰标准化厂的名单予以公示，公示日期为11月18日-11月24日。,,,,,0,0,0,2019-12-01 23:57:00,微博 weibo.com,,,,2019
4370187429504719,HtrTwDSBV,6163765186,造园记,@百度百科你们的秒懂视频就这样未经授权使用我们辛苦原创的视频？还另外配音改编加文字，结尾还署名是@爱芝士生产者联盟生产的？这不是赤裸裸的侵犯著作权和肖像权吗？百度这么大的企业就靠犯法过日子了？不要觉得没人计较，你盗用100自媒体号的视频，也许99个都懒得理你，但是造园记就是那1个不会姑息你们这种垃圾的自媒体！L造园记的微博视频,,,"百度百科,爱芝士生产者联盟",,68,99,226,2019-05-09 23:55:00,造园君的iPhone客户端,,"http://f.us.sinaimg.cn/004CvXJolx07tJ7wAg7u01041200el470E010.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1693038162&ssig=Us%2FbOIZdHk&KID=unistore,video",,2019
4367648810742182,HsnQZ374G,2217296133,淘券集结号,【￥119】红豆冰丝凉席三件套【赠运险】这个牌纸还不错，是江苏省的重点企业集团！！凉席最重要的就是透气一定得好，看了下评论挺不错的！！大家注意要的是，1.35以下的是1个席子➕1个枕套，宿舍党或者家庭1.8大床的尺寸都有哦！！后面选项还有三件套~~【30元券】微博专享限时领券,,,,,0,0,0,2019-05-02 23:48:00,微博 weibo.com,"['https://wx4.sinaimg.cn/large/005B07EBly1g2n2xld4ryj30by0byq3n.jpg', 'https://wx2.sinaimg.cn/large/005B07EBly1g2n2xldxlij30m80m8k4j.jpg', 'https://wx1.sinaimg.cn/large/005B07EBly1g2n2xle9tuj30m80m849a.jpg']",,,2019
4367649276649131,HsnRJrTK3,3200724052,深圳民工007,董明珠，著名的企业家，也是为数不多的能够把国企从小带大的企业家，在员工面前雷厉风行、不苟言笑，当谈到儿子时，一脸兴奋与骄傲，她是女强人，也是一个母亲！@董明珠自媒体,,深圳·蓝湾半岛社区二期,董明珠自媒体,,0,0,1,2019-05-02 23:49:00,iPhone 8 Plus,['https://wx2.sinaimg.cn/large/bec72c54ly1g2nen68sqkj20yi1pc4qu.jpg'],,,2019
4366202040073619,HrMdu0j9p,3064310623,湘人周永来,1688运营#诚信通怎么做推广#【如何做好阿里巴巴1688不仅仅只是一本电子书而已】如何做好阿里巴巴1688：让不同新老客户关注和深入了解。阿里巴巴1688对于工厂来说是重要作战平台之一，但是大多不懂和不了解大大浪费1688平台。湘创俱乐部助力于阿里巴巴创业者和有供应链优势企业工厂转型1688少走弯路+少花冤枉钱，陪伴成长+协助拿更多结果！,,,,诚信通怎么做推广,0,1,2,2019-04-28 23:59:00,湘创俱乐部Android,['https://wx1.sinaimg.cn/large/b6a5ab5fgy1g2j6w46wjij20du0ilwix.jpg'],,,2019
4371274597407510,HtUb1v51Y,2706490237,大秦思进哥,阳光谷道~阳光心态~五谷之道，帮山里人致富，还城里人健康，打造中国第一个餐饮实战资源平台，扶企业，帮创业！L阳光谷道思进哥的微博视频,,,,,0,0,1,2019-05-12 23:55:00,微博视频号,,"http://f.us.sinaimg.cn/001iVD1llx07tNUaI9OE010412002z5g0E010.mp4?label=mp4_hd&template=480x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1693038127&ssig=ghdFA7ILli&KID=unistore,video",,2019
